session,zone,state,lga,ward,school
2024/2025,South East,Enugu,Enugu North,China Town,"OGBETE PRIMARY SCHOOL I, COAL CAMP"
2024/2025,South East,Enugu,Enugu North,China Town,"OGBETE PRIMARY SCHOOL II, COAL CAMP"
2024/2025,South East,Enugu,Enugu North,China Town,"OGBETE RIVER PRIMARY SCHOOL I, OGBETE RIVER"
2024/2025,South East,Enugu,Enugu North,China Town,"OGBETE RIVER PRIMARY SCHOOL II, OGBETE RIVER"
2024/2025,South East,Enugu,Enugu North,China Town,"POTTER&#39;S HOUSE MONTESORRI SCHOOL,HILL-TOP ENUGU-LAWO"
2024/2025,South East,Enugu,Enugu North,China Town,PRECIOUS CHILD INTERNATIONAL SCHOOL ENUGU.
2024/2025,South East,Enugu,Enugu North,China Town,PRIME ACADEMY NURSERY AND PRIMARY SCHOOL ENUGU.
2024/2025,South East,Enugu,Enugu North,China Town,REDEEMER INTERNATIONAL SCHOOL
2024/2025,South East,Enugu,Enugu North,China Town,SAINT PETERS NURSERY AND PRIMARY SCHOOL COAL CAMP OGBETE ENUGU.
2024/2025,South East,Enugu,Enugu North,China Town,SHALO D/C NURSERY AND PRIMARY SCHOOL
2024/2025,South East,Enugu,Enugu North,China Town,"SPECIAL EDUCATION CENTRE, ENUGU"
2024/2025,South East,Enugu,Enugu North,China Town,SPRING OF LIFE NURSERY AND PRIMARY SCHOOL
2024/2025,South East,Enugu,Enugu North,China Town,ST. STEPHENS ANG NURSERY AND PRIMARY SCHOOL UDISIDING ENUGU.
2024/2025,South East,Enugu,Enugu North,China Town,ST.PAULS ANGLICAN NURSERY AND PRIMARY SCHOOL CHINA TOWN ASATA ENUGU.
2024/2025,South East,Enugu,Enugu North,China Town,SYLVINA INTERNATIONAL SCHOOL
2024/2025,South East,Enugu,Enugu North,China Town,TWINKLES NEST SCHOOL
2024/2025,South East,Enugu,Enugu North,China Town,"UDI  PRIMARY SCHOOL II, ENUGU"
2024/2025,South East,Enugu,Enugu North,China Town,"WTC PRIMARY SCHOOL II, ENUGU"
2024/2025,South East,Enugu,Enugu North,China Town,"WTC PRIMARY SCHOOL III, ENUGU"
2024/2025,South East,Enugu,Enugu North,China Town,"WTC PRIMARY SCHOOL IV, ENUGU"
2024/2025,South East,Enugu,Enugu North,China Town,"ARIA  PRIMARY SCHOOL, GRA ENUGU"
2024/2025,South East,Enugu,Enugu North,China Town,"ARMY CHILDREN SCHOOL I, ENUGU"
2024/2025,South East,Enugu,Enugu North,China Town,"ARMY CHILDREN SCHOOL II, ENUGU"
2024/2025,South East,Enugu,Enugu North,China Town,"ARMY CHILDREN SCHOOL III, ENUGU"
2024/2025,South East,Enugu,Enugu North,China Town,BISHOP ENEJA MEMORIAL GROUP NURSERY AND PRIMARY SCHOOL
2024/2025,South East,Enugu,Enugu North,China Town,"BRICK STREET PRIMARY SCHOOL, BRICK"
2024/2025,South East,Enugu,Enugu North,China Town,BROOK LAURELS ACADEMY ENUGU
2024/2025,South East,Enugu,Enugu North,China Town,"CAITADEL OF EXCELLENCE COLLAGE, ENUGU"
2024/2025,South East,Enugu,Enugu North,China Town,CALVARY FOUNDATION INTERNATIONAL NURSERY AND PRIMARY SCHOOL
2024/2025,South East,Enugu,Enugu North,China Town,"CARTER STREET PRIMARY SCHOOL, CARTER STREET"
2019/2020,South East,Enugu,Enugu North,China Town,"CITY GIRLS SECONDARY SCHOOL, ENUGU"
2019/2020,South East,Enugu,Enugu North,China Town,"COAL CAMP SECONDARY SCHOOL, ENUGU"
2019/2020,South East,Enugu,Enugu North,China Town,"COMMUNITY SECONDARY SCHOOL IVA-VALLEY, ENUGU"
2019/2020,South East,Enugu,Enugu North,China Town,"GODS BEST SECONDARY SCHOOL OLOGO, ENUGU"
2019/2020,South East,Enugu,Enugu North,China Town,GODS GIFT INTERNATIONAL SECONDARY SCHOOL
2019/2020,South East,Enugu,Enugu North,China Town,"GOVERNMENT TECHNICAL COLLEGE, ENUGU"
2019/2020,South East,Enugu,Enugu North,China Town,GRACELAND  COLLEGE ENUGU
2019/2020,South East,Enugu,Enugu North,China Town,MAGNET INTERNATIONAL HIGH SCHOOL CHINA TOWN ENUGU
2019/2020,South East,Enugu,Enugu North,China Town,MERVELLOUS GRACE INTERNATIONAL SECONDARY SCHOOL ENUGU.
2019/2020,South East,Enugu,Enugu North,China Town,OZOUGWU COMPREHENSIVE SECONDARY SCHOOL
2019/2020,South East,Enugu,Enugu North,China Town,PRECIOUS INTERNATIONAL COLLEGE ENUGU.
2020/2021,South East,Enugu,Enugu North,China Town,GRACELAND  COLLEGE ENUGU
2020/2021,South East,Enugu,Enugu North,China Town,MAGNET INTERNATIONAL HIGH SCHOOL CHINA TOWN ENUGU
2020/2021,South East,Enugu,Enugu North,China Town,MERVELLOUS GRACE INTERNATIONAL SECONDARY SCHOOL ENUGU.
2020/2021,South East,Enugu,Enugu North,China Town,OZOUGWU COMPREHENSIVE SECONDARY SCHOOL
2020/2021,South East,Enugu,Enugu North,China Town,PRECIOUS INTERNATIONAL COLLEGE ENUGU.
2020/2021,South East,Enugu,Enugu North,China Town,"CITY GIRLS SECONDARY SCHOOL, ENUGU"
2020/2021,South East,Enugu,Enugu North,China Town,"COAL CAMP SECONDARY SCHOOL, ENUGU"
2020/2021,South East,Enugu,Enugu North,China Town,"COMMUNITY SECONDARY SCHOOL IVA-VALLEY, ENUGU"
2020/2021,South East,Enugu,Enugu North,China Town,"GODS BEST SECONDARY SCHOOL OLOGO, ENUGU"
2020/2021,South East,Enugu,Enugu North,China Town,GODS GIFT INTERNATIONAL SECONDARY SCHOOL
2020/2021,South East,Enugu,Enugu North,China Town,"GOVERNMENT TECHNICAL COLLEGE, ENUGU"
2021/2022,South East,Enugu,Enugu North,China Town,"COAL CAMP SECONDARY SCHOOL, ENUGU"
2021/2022,South East,Enugu,Enugu North,China Town,"COMMUNITY SECONDARY SCHOOL IVA-VALLEY, ENUGU"
2021/2022,South East,Enugu,Enugu North,China Town,"GODS BEST SECONDARY SCHOOL OLOGO, ENUGU"
2021/2022,South East,Enugu,Enugu North,China Town,GODS GIFT INTERNATIONAL SECONDARY SCHOOL
2021/2022,South East,Enugu,Enugu North,China Town,"GOVERNMENT TECHNICAL COLLEGE, ENUGU"
2021/2022,South East,Enugu,Enugu North,China Town,GRACELAND  COLLEGE ENUGU
2021/2022,South East,Enugu,Enugu North,China Town,MAGNET INTERNATIONAL HIGH SCHOOL CHINA TOWN ENUGU
2021/2022,South East,Enugu,Enugu North,China Town,MERVELLOUS GRACE INTERNATIONAL SECONDARY SCHOOL ENUGU.
2021/2022,South East,Enugu,Enugu North,China Town,OZOUGWU COMPREHENSIVE SECONDARY SCHOOL
2021/2022,South East,Enugu,Enugu North,China Town,PRECIOUS INTERNATIONAL COLLEGE ENUGU.
2021/2022,South East,Enugu,Enugu North,China Town,"CITY GIRLS SECONDARY SCHOOL, ENUGU"
2022/2023,South East,Enugu,Enugu North,China Town,MAGNET INTERNATIONAL HIGH SCHOOL CHINA TOWN ENUGU
2022/2023,South East,Enugu,Enugu North,China Town,MERVELLOUS GRACE INTERNATIONAL SECONDARY SCHOOL ENUGU.
2022/2023,South East,Enugu,Enugu North,China Town,OZOUGWU COMPREHENSIVE SECONDARY SCHOOL
2022/2023,South East,Enugu,Enugu North,China Town,PRECIOUS INTERNATIONAL COLLEGE ENUGU.
2022/2023,South East,Enugu,Enugu North,China Town,"CITY GIRLS SECONDARY SCHOOL, ENUGU"
2022/2023,South East,Enugu,Enugu North,China Town,"COAL CAMP SECONDARY SCHOOL, ENUGU"
2022/2023,South East,Enugu,Enugu North,China Town,"COMMUNITY SECONDARY SCHOOL IVA-VALLEY, ENUGU"
2022/2023,South East,Enugu,Enugu North,China Town,"GODS BEST SECONDARY SCHOOL OLOGO, ENUGU"
2022/2023,South East,Enugu,Enugu North,China Town,GODS GIFT INTERNATIONAL SECONDARY SCHOOL
2022/2023,South East,Enugu,Enugu North,China Town,"GOVERNMENT TECHNICAL COLLEGE, ENUGU"
2022/2023,South East,Enugu,Enugu North,China Town,GRACELAND  COLLEGE ENUGU
2023/2024,South East,Enugu,Enugu North,China Town,"COMMUNITY SECONDARY SCHOOL IVA-VALLEY, ENUGU"
2023/2024,South East,Enugu,Enugu North,China Town,"GODS BEST SECONDARY SCHOOL OLOGO, ENUGU"
2023/2024,South East,Enugu,Enugu North,China Town,GODS GIFT INTERNATIONAL SECONDARY SCHOOL
2023/2024,South East,Enugu,Enugu North,China Town,"GOVERNMENT TECHNICAL COLLEGE, ENUGU"
2023/2024,South East,Enugu,Enugu North,China Town,GRACELAND  COLLEGE ENUGU
2023/2024,South East,Enugu,Enugu North,China Town,MAGNET INTERNATIONAL HIGH SCHOOL CHINA TOWN ENUGU
2023/2024,South East,Enugu,Enugu North,China Town,MERVELLOUS GRACE INTERNATIONAL SECONDARY SCHOOL ENUGU.
2023/2024,South East,Enugu,Enugu North,China Town,OZOUGWU COMPREHENSIVE SECONDARY SCHOOL
2023/2024,South East,Enugu,Enugu North,China Town,PRECIOUS INTERNATIONAL COLLEGE ENUGU.
2023/2024,South East,Enugu,Enugu North,China Town,"CITY GIRLS SECONDARY SCHOOL, ENUGU"
2023/2024,South East,Enugu,Enugu North,China Town,"COAL CAMP SECONDARY SCHOOL, ENUGU"
2024/2025,South East,Enugu,Enugu North,China Town,MERVELLOUS GRACE INTERNATIONAL SECONDARY SCHOOL ENUGU.
2024/2025,South East,Enugu,Enugu North,China Town,OZOUGWU COMPREHENSIVE SECONDARY SCHOOL
2024/2025,South East,Enugu,Enugu North,China Town,PRECIOUS INTERNATIONAL COLLEGE ENUGU.
2024/2025,South East,Enugu,Enugu North,China Town,"CITY GIRLS SECONDARY SCHOOL, ENUGU"
2024/2025,South East,Enugu,Enugu North,China Town,"COAL CAMP SECONDARY SCHOOL, ENUGU"
2024/2025,South East,Enugu,Enugu North,China Town,"COMMUNITY SECONDARY SCHOOL IVA-VALLEY, ENUGU"
2024/2025,South East,Enugu,Enugu North,China Town,"GODS BEST SECONDARY SCHOOL OLOGO, ENUGU"
2024/2025,South East,Enugu,Enugu North,China Town,GODS GIFT INTERNATIONAL SECONDARY SCHOOL
2024/2025,South East,Enugu,Enugu North,China Town,"GOVERNMENT TECHNICAL COLLEGE, ENUGU"
2024/2025,South East,Enugu,Enugu North,China Town,GRACELAND  COLLEGE ENUGU
2024/2025,South East,Enugu,Enugu North,China Town,MAGNET INTERNATIONAL HIGH SCHOOL CHINA TOWN ENUGU
2019/2020,South East,Enugu,Enugu South,Amechi I,ACHIEVERS SOLID BASE ACADEMY
2019/2020,South East,Enugu,Enugu South,Amechi I,ADVANCE LEARNING INTERNATIONAL PRIMARY SCHOOL AMECHI
2019/2020,South East,Enugu,Enugu South,Amechi I,AMECHI PRIMARY SCHOOL
2019/2020,South East,Enugu,Enugu South,Amechi I,"CENTRAL SCHOOL, AMECHI AWKUNANAW"
2019/2020,South East,Enugu,Enugu South,Amechi I,CHARIS INTERNATIONAL SCHOOL
2019/2020,South East,Enugu,Enugu South,Amechi I,CHRIST DE SAVIOUR PRIMARY SCHOOL AMECHI
2019/2020,South East,Enugu,Enugu South,Amechi I,"COMMUNITY  PRIMARY SCHOOL I, AMECHI"
2019/2020,South East,Enugu,Enugu South,Amechi I,"COMMUNITY  PRIMARY SCHOOL II, AMECHI AKWKUNANAW- ENUGU"
2019/2020,South East,Enugu,Enugu South,Amechi I,"COMMUNITY UNITY PRIMARY SCHOOL, NDIAGU AMECHI"
2019/2020,South East,Enugu,Enugu South,Amechi I,DIAMOND CHILD INTERNATIONAL PRIMARY SCHOOL
2019/2020,South East,Enugu,Enugu South,Amechi I,DIVINE ALMOND INTERNATIONAL SCHOOL ENUGU
2019/2020,South East,Enugu,Enugu South,Amechi I,EDEN PRIMARY SCHOOL AMECHI
2019/2020,South East,Enugu,Enugu South,Amechi I,"EMMANUEL CHURCH NURSERY/PRIMARY SCHOOL, ACHARA LAYOUT ENUGU"
2019/2020,South East,Enugu,Enugu South,Amechi I,EVANGELICAL NURSERY AND PRIMARY SCHOOL
2019/2020,South East,Enugu,Enugu South,Amechi I,EXCELLENT KIDS INTERNATIONAL PRIMARY SCHOOL AMAECHI
2019/2020,South East,Enugu,Enugu South,Amechi I,FOUNTAIN OF DIVINE FAVOUR INTERNATIONAL SCHOOL AMECHI ENUGU
2019/2020,South East,Enugu,Enugu South,Amechi I,FOUNTAIN OF LIFE INTERNATIONAL ACADEMY ENUGU
2019/2020,South East,Enugu,Enugu South,Amechi I,GATEWAY FUTURE STARS ACADEMY
2019/2020,South East,Enugu,Enugu South,Amechi I,GODS  WILL PRIMARY SCHOOL
2019/2020,South East,Enugu,Enugu South,Amechi I,GODS DIVINE GRACE NURSERY AND PRIMARY SCHOOL
2019/2020,South East,Enugu,Enugu South,Amechi I,HOLY KIDS INTERNATIONAL SCHOOL
2019/2020,South East,Enugu,Enugu South,Amechi I,JUDITH FOUNDATION INTERNATIONAL PRIMARY SCHOOL AMAECHI
2019/2020,South East,Enugu,Enugu South,Amechi I,PENIEL NURSERY AND PRIMARY SCHOOL AMECHI UWANI AWKUNANAW
2019/2020,South East,Enugu,Enugu South,Amechi I,PILGRIM MODEL PRIMARY SCHOOL AMECHI
2019/2020,South East,Enugu,Enugu South,Amechi I,RISING STAR COLLAGE
2019/2020,South East,Enugu,Enugu South,Amechi I,SCRIPTURE UNION PRIMARY SCHOOL KINGS KIDS AMECHI
2019/2020,South East,Enugu,Enugu South,Amechi I,SOLID LEGACY NURSERY AND PRIMARY SCHOOL
2019/2020,South East,Enugu,Enugu South,Amechi I,SPLENDID SUCCESS PRIMARY ACADEMY AMECHI
2019/2020,South East,Enugu,Enugu South,Amechi I,ST  VINCENT DE PAUL PRIMARY SCHOOL
2019/2020,South East,Enugu,Enugu South,Amechi I,SURE FOUNDATION ACADEMY
2019/2020,South East,Enugu,Enugu South,Amechi I,THE GODDARD INTERNATIONAL SCHOOL ENUGU
2019/2020,South East,Enugu,Enugu South,Amechi I,THE SURE FOUNDATION SCHOOLS
2019/2020,South East,Enugu,Enugu South,Amechi I,TIMEBELL ACADEMY AMECHI.
2019/2020,South East,Enugu,Enugu South,Amechi I,WISDOM KIDS NURSERY AND PRIMARY SCHOOL ENUGU
2019/2020,South East,Enugu,Enugu South,Amechi I,ZETA INTERNATIONAL PRIMARY SCHOOL AMECHI
2020/2021,South East,Enugu,Enugu South,Amechi I,AMECHI PRIMARY SCHOOL
2020/2021,South East,Enugu,Enugu South,Amechi I,"CENTRAL SCHOOL, AMECHI AWKUNANAW"
2020/2021,South East,Enugu,Enugu South,Amechi I,CHARIS INTERNATIONAL SCHOOL
2020/2021,South East,Enugu,Enugu South,Amechi I,CHRIST DE SAVIOUR PRIMARY SCHOOL AMECHI
2020/2021,South East,Enugu,Enugu South,Amechi I,"COMMUNITY  PRIMARY SCHOOL I, AMECHI"
2020/2021,South East,Enugu,Enugu South,Amechi I,"COMMUNITY  PRIMARY SCHOOL II, AMECHI AKWKUNANAW- ENUGU"
2020/2021,South East,Enugu,Enugu South,Amechi I,"COMMUNITY UNITY PRIMARY SCHOOL, NDIAGU AMECHI"
2020/2021,South East,Enugu,Enugu South,Amechi I,DIAMOND CHILD INTERNATIONAL PRIMARY SCHOOL
2020/2021,South East,Enugu,Enugu South,Amechi I,DIVINE ALMOND INTERNATIONAL SCHOOL ENUGU
2020/2021,South East,Enugu,Enugu South,Amechi I,EDEN PRIMARY SCHOOL AMECHI
2020/2021,South East,Enugu,Enugu South,Amechi I,"EMMANUEL CHURCH NURSERY/PRIMARY SCHOOL, ACHARA LAYOUT ENUGU"
2020/2021,South East,Enugu,Enugu South,Amechi I,EVANGELICAL NURSERY AND PRIMARY SCHOOL
2020/2021,South East,Enugu,Enugu South,Amechi I,EXCELLENT KIDS INTERNATIONAL PRIMARY SCHOOL AMAECHI
2020/2021,South East,Enugu,Enugu South,Amechi I,FOUNTAIN OF DIVINE FAVOUR INTERNATIONAL SCHOOL AMECHI ENUGU
2020/2021,South East,Enugu,Enugu South,Amechi I,FOUNTAIN OF LIFE INTERNATIONAL ACADEMY ENUGU
2020/2021,South East,Enugu,Enugu South,Amechi I,GATEWAY FUTURE STARS ACADEMY
2020/2021,South East,Enugu,Enugu South,Amechi I,GODS  WILL PRIMARY SCHOOL
2020/2021,South East,Enugu,Enugu South,Amechi I,GODS DIVINE GRACE NURSERY AND PRIMARY SCHOOL
2020/2021,South East,Enugu,Enugu South,Amechi I,HOLY KIDS INTERNATIONAL SCHOOL
2020/2021,South East,Enugu,Enugu South,Amechi I,JUDITH FOUNDATION INTERNATIONAL PRIMARY SCHOOL AMAECHI
2020/2021,South East,Enugu,Enugu South,Amechi I,PENIEL NURSERY AND PRIMARY SCHOOL AMECHI UWANI AWKUNANAW
2020/2021,South East,Enugu,Enugu South,Amechi I,PILGRIM MODEL PRIMARY SCHOOL AMECHI
2020/2021,South East,Enugu,Enugu South,Amechi I,RISING STAR COLLAGE
2020/2021,South East,Enugu,Enugu South,Amechi I,SCRIPTURE UNION PRIMARY SCHOOL KINGS KIDS AMECHI
2020/2021,South East,Enugu,Enugu South,Amechi I,SOLID LEGACY NURSERY AND PRIMARY SCHOOL
2020/2021,South East,Enugu,Enugu South,Amechi I,SPLENDID SUCCESS PRIMARY ACADEMY AMECHI
2020/2021,South East,Enugu,Enugu South,Amechi I,ST  VINCENT DE PAUL PRIMARY SCHOOL
2020/2021,South East,Enugu,Enugu South,Amechi I,SURE FOUNDATION ACADEMY
2020/2021,South East,Enugu,Enugu South,Amechi I,THE GODDARD INTERNATIONAL SCHOOL ENUGU
2020/2021,South East,Enugu,Enugu South,Amechi I,THE SURE FOUNDATION SCHOOLS
2020/2021,South East,Enugu,Enugu South,Amechi I,TIMEBELL ACADEMY AMECHI.
2020/2021,South East,Enugu,Enugu South,Amechi I,WISDOM KIDS NURSERY AND PRIMARY SCHOOL ENUGU
2020/2021,South East,Enugu,Enugu South,Amechi I,ZETA INTERNATIONAL PRIMARY SCHOOL AMECHI
2020/2021,South East,Enugu,Enugu South,Amechi I,ACHIEVERS SOLID BASE ACADEMY
2020/2021,South East,Enugu,Enugu South,Amechi I,ADVANCE LEARNING INTERNATIONAL PRIMARY SCHOOL AMECHI
2021/2022,South East,Enugu,Enugu South,Amechi I,CHARIS INTERNATIONAL SCHOOL
2021/2022,South East,Enugu,Enugu South,Amechi I,CHRIST DE SAVIOUR PRIMARY SCHOOL AMECHI
2021/2022,South East,Enugu,Enugu South,Amechi I,"COMMUNITY  PRIMARY SCHOOL I, AMECHI"
2021/2022,South East,Enugu,Enugu South,Amechi I,"COMMUNITY  PRIMARY SCHOOL II, AMECHI AKWKUNANAW- ENUGU"
2021/2022,South East,Enugu,Enugu South,Amechi I,"COMMUNITY UNITY PRIMARY SCHOOL, NDIAGU AMECHI"
2021/2022,South East,Enugu,Enugu South,Amechi I,DIAMOND CHILD INTERNATIONAL PRIMARY SCHOOL
2021/2022,South East,Enugu,Enugu South,Amechi I,DIVINE ALMOND INTERNATIONAL SCHOOL ENUGU
2021/2022,South East,Enugu,Enugu South,Amechi I,EDEN PRIMARY SCHOOL AMECHI
2021/2022,South East,Enugu,Enugu South,Amechi I,"EMMANUEL CHURCH NURSERY/PRIMARY SCHOOL, ACHARA LAYOUT ENUGU"
2021/2022,South East,Enugu,Enugu South,Amechi I,EVANGELICAL NURSERY AND PRIMARY SCHOOL
2021/2022,South East,Enugu,Enugu South,Amechi I,EXCELLENT KIDS INTERNATIONAL PRIMARY SCHOOL AMAECHI
2021/2022,South East,Enugu,Enugu South,Amechi I,FOUNTAIN OF DIVINE FAVOUR INTERNATIONAL SCHOOL AMECHI ENUGU
2021/2022,South East,Enugu,Enugu South,Amechi I,FOUNTAIN OF LIFE INTERNATIONAL ACADEMY ENUGU
2021/2022,South East,Enugu,Enugu South,Amechi I,GATEWAY FUTURE STARS ACADEMY
2021/2022,South East,Enugu,Enugu South,Amechi I,GODS  WILL PRIMARY SCHOOL
2021/2022,South East,Enugu,Enugu South,Amechi I,GODS DIVINE GRACE NURSERY AND PRIMARY SCHOOL
2021/2022,South East,Enugu,Enugu South,Amechi I,HOLY KIDS INTERNATIONAL SCHOOL
2021/2022,South East,Enugu,Enugu South,Amechi I,JUDITH FOUNDATION INTERNATIONAL PRIMARY SCHOOL AMAECHI
2021/2022,South East,Enugu,Enugu South,Amechi I,PENIEL NURSERY AND PRIMARY SCHOOL AMECHI UWANI AWKUNANAW
2021/2022,South East,Enugu,Enugu South,Amechi I,PILGRIM MODEL PRIMARY SCHOOL AMECHI
2021/2022,South East,Enugu,Enugu South,Amechi I,RISING STAR COLLAGE
2021/2022,South East,Enugu,Enugu South,Amechi I,SCRIPTURE UNION PRIMARY SCHOOL KINGS KIDS AMECHI
2021/2022,South East,Enugu,Enugu South,Amechi I,SOLID LEGACY NURSERY AND PRIMARY SCHOOL
2021/2022,South East,Enugu,Enugu South,Amechi I,SPLENDID SUCCESS PRIMARY ACADEMY AMECHI
2021/2022,South East,Enugu,Enugu South,Amechi I,ST  VINCENT DE PAUL PRIMARY SCHOOL
2021/2022,South East,Enugu,Enugu South,Amechi I,SURE FOUNDATION ACADEMY
2021/2022,South East,Enugu,Enugu South,Amechi I,THE GODDARD INTERNATIONAL SCHOOL ENUGU
2021/2022,South East,Enugu,Enugu South,Amechi I,THE SURE FOUNDATION SCHOOLS
2021/2022,South East,Enugu,Enugu South,Amechi I,TIMEBELL ACADEMY AMECHI.
2021/2022,South East,Enugu,Enugu South,Amechi I,WISDOM KIDS NURSERY AND PRIMARY SCHOOL ENUGU
2021/2022,South East,Enugu,Enugu South,Amechi I,ZETA INTERNATIONAL PRIMARY SCHOOL AMECHI
2021/2022,South East,Enugu,Enugu South,Amechi I,ACHIEVERS SOLID BASE ACADEMY
2021/2022,South East,Enugu,Enugu South,Amechi I,ADVANCE LEARNING INTERNATIONAL PRIMARY SCHOOL AMECHI
2021/2022,South East,Enugu,Enugu South,Amechi I,AMECHI PRIMARY SCHOOL
2021/2022,South East,Enugu,Enugu South,Amechi I,"CENTRAL SCHOOL, AMECHI AWKUNANAW"
2022/2023,South East,Enugu,Enugu South,Amechi I,"COMMUNITY  PRIMARY SCHOOL I, AMECHI"
2022/2023,South East,Enugu,Enugu South,Amechi I,"COMMUNITY  PRIMARY SCHOOL II, AMECHI AKWKUNANAW- ENUGU"
2022/2023,South East,Enugu,Enugu South,Amechi I,"COMMUNITY UNITY PRIMARY SCHOOL, NDIAGU AMECHI"
2022/2023,South East,Enugu,Enugu South,Amechi I,DIAMOND CHILD INTERNATIONAL PRIMARY SCHOOL
2022/2023,South East,Enugu,Enugu South,Amechi I,DIVINE ALMOND INTERNATIONAL SCHOOL ENUGU
2022/2023,South East,Enugu,Enugu South,Amechi I,EDEN PRIMARY SCHOOL AMECHI
2022/2023,South East,Enugu,Enugu South,Amechi I,"EMMANUEL CHURCH NURSERY/PRIMARY SCHOOL, ACHARA LAYOUT ENUGU"
2022/2023,South East,Enugu,Enugu South,Amechi I,EVANGELICAL NURSERY AND PRIMARY SCHOOL
2022/2023,South East,Enugu,Enugu South,Amechi I,EXCELLENT KIDS INTERNATIONAL PRIMARY SCHOOL AMAECHI
2022/2023,South East,Enugu,Enugu South,Amechi I,FOUNTAIN OF DIVINE FAVOUR INTERNATIONAL SCHOOL AMECHI ENUGU
2022/2023,South East,Enugu,Enugu South,Amechi I,FOUNTAIN OF LIFE INTERNATIONAL ACADEMY ENUGU
2022/2023,South East,Enugu,Enugu South,Amechi I,GATEWAY FUTURE STARS ACADEMY
2022/2023,South East,Enugu,Enugu South,Amechi I,GODS  WILL PRIMARY SCHOOL
2022/2023,South East,Enugu,Enugu South,Amechi I,GODS DIVINE GRACE NURSERY AND PRIMARY SCHOOL
2022/2023,South East,Enugu,Enugu South,Amechi I,HOLY KIDS INTERNATIONAL SCHOOL
2022/2023,South East,Enugu,Enugu South,Amechi I,JUDITH FOUNDATION INTERNATIONAL PRIMARY SCHOOL AMAECHI
2022/2023,South East,Enugu,Enugu South,Amechi I,PENIEL NURSERY AND PRIMARY SCHOOL AMECHI UWANI AWKUNANAW
2022/2023,South East,Enugu,Enugu South,Amechi I,PILGRIM MODEL PRIMARY SCHOOL AMECHI
2022/2023,South East,Enugu,Enugu South,Amechi I,RISING STAR COLLAGE
2022/2023,South East,Enugu,Enugu South,Amechi I,SCRIPTURE UNION PRIMARY SCHOOL KINGS KIDS AMECHI
2022/2023,South East,Enugu,Enugu South,Amechi I,SOLID LEGACY NURSERY AND PRIMARY SCHOOL
2022/2023,South East,Enugu,Enugu South,Amechi I,SPLENDID SUCCESS PRIMARY ACADEMY AMECHI
2022/2023,South East,Enugu,Enugu South,Amechi I,ST  VINCENT DE PAUL PRIMARY SCHOOL
2022/2023,South East,Enugu,Enugu South,Amechi I,SURE FOUNDATION ACADEMY
2022/2023,South East,Enugu,Enugu South,Amechi I,THE GODDARD INTERNATIONAL SCHOOL ENUGU
2022/2023,South East,Enugu,Enugu South,Amechi I,THE SURE FOUNDATION SCHOOLS
2022/2023,South East,Enugu,Enugu South,Amechi I,TIMEBELL ACADEMY AMECHI.
2022/2023,South East,Enugu,Enugu South,Amechi I,WISDOM KIDS NURSERY AND PRIMARY SCHOOL ENUGU
2022/2023,South East,Enugu,Enugu South,Amechi I,ZETA INTERNATIONAL PRIMARY SCHOOL AMECHI
2022/2023,South East,Enugu,Enugu South,Amechi I,ACHIEVERS SOLID BASE ACADEMY
2022/2023,South East,Enugu,Enugu South,Amechi I,ADVANCE LEARNING INTERNATIONAL PRIMARY SCHOOL AMECHI
2022/2023,South East,Enugu,Enugu South,Amechi I,AMECHI PRIMARY SCHOOL
2022/2023,South East,Enugu,Enugu South,Amechi I,"CENTRAL SCHOOL, AMECHI AWKUNANAW"
2022/2023,South East,Enugu,Enugu South,Amechi I,CHARIS INTERNATIONAL SCHOOL
2022/2023,South East,Enugu,Enugu South,Amechi I,CHRIST DE SAVIOUR PRIMARY SCHOOL AMECHI
2023/2024,South East,Enugu,Enugu South,Amechi I,"COMMUNITY UNITY PRIMARY SCHOOL, NDIAGU AMECHI"
2023/2024,South East,Enugu,Enugu South,Amechi I,DIAMOND CHILD INTERNATIONAL PRIMARY SCHOOL
2023/2024,South East,Enugu,Enugu South,Amechi I,DIVINE ALMOND INTERNATIONAL SCHOOL ENUGU
2023/2024,South East,Enugu,Enugu South,Amechi I,EDEN PRIMARY SCHOOL AMECHI
2023/2024,South East,Enugu,Enugu South,Amechi I,"EMMANUEL CHURCH NURSERY/PRIMARY SCHOOL, ACHARA LAYOUT ENUGU"
2023/2024,South East,Enugu,Enugu South,Amechi I,EVANGELICAL NURSERY AND PRIMARY SCHOOL
2023/2024,South East,Enugu,Enugu South,Amechi I,EXCELLENT KIDS INTERNATIONAL PRIMARY SCHOOL AMAECHI
2023/2024,South East,Enugu,Enugu South,Amechi I,FOUNTAIN OF DIVINE FAVOUR INTERNATIONAL SCHOOL AMECHI ENUGU
2023/2024,South East,Enugu,Enugu South,Amechi I,FOUNTAIN OF LIFE INTERNATIONAL ACADEMY ENUGU
2023/2024,South East,Enugu,Enugu South,Amechi I,GATEWAY FUTURE STARS ACADEMY
2023/2024,South East,Enugu,Enugu South,Amechi I,GODS  WILL PRIMARY SCHOOL
2023/2024,South East,Enugu,Enugu South,Amechi I,GODS DIVINE GRACE NURSERY AND PRIMARY SCHOOL
2023/2024,South East,Enugu,Enugu South,Amechi I,HOLY KIDS INTERNATIONAL SCHOOL
2023/2024,South East,Enugu,Enugu South,Amechi I,JUDITH FOUNDATION INTERNATIONAL PRIMARY SCHOOL AMAECHI
