session,gender,disability,exam_body,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2024/2025,Male,Disabled,NECO,College of Education,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,10,28,19,8,7,0,5,7,9,1
2024/2025,Male,Disabled,NECO,College of Education,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,10,24,17,7,7,0,6,6,8,0
2024/2025,Male,Disabled,NECO,Polytechnic,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,9,22,15,6,6,0,5,5,8,0
2024/2025,Male,Disabled,NECO,Polytechnic,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,15,39,26,11,11,0,9,10,13,0
2024/2025,Male,Disabled,NECO,Polytechnic,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,13,32,22,9,9,0,7,8,11,0
2024/2025,Male,Disabled,NECO,Polytechnic,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,22,57,37,17,15,1,13,15,17,2
2024/2025,Male,Disabled,NECO,Polytechnic,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,14,37,24,11,10,0,8,10,11,1
2024/2025,Male,Disabled,NECO,University,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,2,5,3,1,1,0,1,1,2,0
2024/2025,Male,Disabled,NECO,University,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,6,15,10,4,4,0,3,4,5,0
2024/2025,Male,Disabled,NECO,University,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,14,35,23,10,9,0,8,9,11,1
2024/2025,Male,Disabled,NECO,University,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,8,20,13,6,5,0,4,5,6,1
2024/2025,Male,Disabled,NECO,University,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,14,37,24,11,10,0,8,10,11,1
2024/2025,Male,Disabled,WAEC,College of Education,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,41,106,70,30,27,1,23,28,33,3
2024/2025,Male,Disabled,WAEC,College of Education,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,29,74,50,22,20,1,16,19,23,2
2024/2025,Male,Disabled,WAEC,College of Education,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,14,35,23,10,9,0,8,9,11,1
2024/2025,Male,Disabled,WAEC,College of Education,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,14,37,24,11,10,0,8,10,11,1
2024/2025,Male,Disabled,WAEC,College of Education,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,13,32,22,9,9,0,7,8,11,0
2024/2025,Male,Disabled,WAEC,Polytechnic,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,11,30,20,9,8,0,6,8,9,1
2024/2025,Male,Disabled,WAEC,Polytechnic,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,20,52,34,15,14,1,11,14,16,1
2024/2025,Male,Disabled,WAEC,Polytechnic,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,15,39,26,11,11,0,9,10,13,0
2024/2025,Male,Disabled,WAEC,Polytechnic,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,32,82,54,23,22,1,17,22,25,2
2024/2025,Male,Disabled,WAEC,Polytechnic,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,21,54,36,16,14,1,12,14,17,2
2024/2025,Male,Disabled,WAEC,University,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,3,7,6,2,2,0,2,1,3,0
2024/2025,Male,Disabled,WAEC,University,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,8,20,13,6,5,0,4,5,6,1
2024/2025,Male,Disabled,WAEC,University,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,19,50,33,14,13,1,11,13,16,1
2024/2025,Male,Disabled,WAEC,University,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,10,28,19,8,7,0,5,7,9,1
2024/2025,Male,Disabled,WAEC,University,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,21,54,36,16,14,1,12,14,17,2
